Bahnaric,Vietnamese
'bĕng,đánh
'bĕnh,đầy
'bĕp,bép xép
anhŏng mai pôm bă mĕ,anh chị
'nhŏng mai ,anh chị
'bĕr,bép
'bĕr,xép
'bĭch,nằm
'bĭk,nằm
'bĭr,láo
'bĭr,nói
'bŏ,có
anho`ng oh pôm b`ă me`,anh em
'bŏk,giản
'bŏk,gợi lại chuyện cũ
anhŏng oh pôm 'bă mĕ,anh em
'bŏl,cả
anhŏng oh pôm bă mĕ,anh em
'bŏng,dã
'bŏng 'boch,con dã nhân
'bũ,chôn cất người chết
'bũl 'bũl,tập trung một chỗ
'bŭ,chôn
'bŭ,lấp
'bŭ,vun
'bŭ,vùi
'nhŏng oh ,anh em
'bơ'banh,đúc
'bơ'bel,quịt nợ
'bơ'blep,sắp lặn
'bơ'blet,chỉ ánh sáng bất đầu tỏa rạng
'bơ'blut,lớn nhanh
'bơ'blĕk,lạnh ngắt
'bơ'blĕk,sủi tăm
'bơ'blĕt,traần trọc
'bơ'bot,rờ rẫm
gop 'băn,anh em cọc chèo
'bơ'breh 'bơ'brĕk,nhiều bọ nhỏ bò trên mình
'bơ'broy,chỉ trâu
'bơ'brui,chẳng có thứ gì
hơtan,anh em cọc chèo
'bơ'brêk,vô
'bơ'brêk 'bơ'brak,nhiều vô số kể
'bơ'brŏ,không có đồ ăn
pô̆,anh em cọc chèo
'bơ'bŭl 'bơ'băl,chỉ nhiều người hay vật tập trung một chữ
'bơ'bôh,thấy
'bơ'bơnh,đông
'bơ'bưi,cháy ngầm
'bơblut,buồn ñôn
'bơblâu 'bơblĕng,không thấy nước
'bơi,bời
'bơi,cải
anhŏng oh pôm yă 'bŏk,anh em thúc bá
'bơm,lây
'bơp,há miệng 
'bơp 'bơp,miệng nói mà không làm
anhŏng oh pôm yă bŏk,anh em thúc bá
'bơt,hụt
mơng kơtang,anh hùng
'bơt,uốn
'bơt,đi
mi,anh nuôi
'bơ̆i bơhnar,tiếng ba na
mi,anh rể
'bơ̆l,lại
ang,ánh sáng
arang,ánh sáng
rơdah,ánh sáng
brêng brang,ánh sáng
mặt ‘năr tơmưt,ánh sáng
'bău,ao
'bơ̆l,tính
'bơ̆l đon,tính
tơ nau,ao
tơ năo,ao
tơ nău,ao
tơnau,ao
tơrao,ao
'buh,ao
'bơ̆t,nắn
bơ̆t,uốn
'bưch,tùy hứng
'bưi,ngầm
'bưp,rinh
'bưp,rung
'bươ,bừa
dơnâu,ao
ho,ao
hơ,ao
'dah,nảy mầm
hơ lŭng sir,ao
hơlŭng đak,ao
'dal,cạn
'dam,chính xác
'dam,tôi tớ
'dam,tớ
'dang,ngữa
'dang,trước
'dang,xong
'dao,kiếm
'dar,thanh ngang chận 
'dar,đá bàn
'dat 'dat,người hay đi lại
'dat 'dat,vừa đi vừa chổng đuôi
pơ lung,ao
'deh,lách
'deh,nổ lách cách
'deh,nở
'deh pơ'deh,thao thức suốt đêm
'dei,có
'deu,queo
'di,cả
'dih,trước
'dih,đón
'dik,nâng lên
'dik 'dôk,lên xuống
'dim,chưa
pơlŭng,ao
sơlu`ng,ao
'ding,ống tre nứa
'ding but,nhạc cụ 
sơlŭng,ao
'doh,nổ
'doh,đeo
'doi,ngữa
ao,ao
'dom,dính vào
bău,ao
ao,áo
'don,lòng trí
'don,nghĩ
'don,nhĩ
'don,nhớ
au,áo
'don,tưởng
kơlơ̆p,áo
'dong,dái loài vật
'dop,cụp
'dop,lòm
'dot 'dot,chỉ thở thoi thóp
lay,áo
amăng,áo
'dum,đỏ
'dung,lâu
'dup,cụp xuống
'dup 'dêp,bật lên bật xuống
'dut,chỉ
'dut,sâu
sơlŭng,ao chuôm
'duơ̆t,nhổ lên
ao kơ jung,áo dài
'dêl 'dăi,giống như trước
'dôh,nổ
'dôl,bộ phận sinh dục
'dôn,thêm nữa
'dông,nổi
'dông,thóp đầu
'dông,đồn lính
'dôp kơ'dôp,đi khom lưng
'dô̆,xin thường 
'dô̆r,khệ
gơxar,ảo giác
'dă,đố
'dă hiĕp,sách giáo lý
'dăng,cả
'dăo,đáng kiếp
'dĭ,hết
'dĭ,tất cả
'dĭ 'dĭ,cùng có nhau
'dĭch,người nô lệ
'dĭk,thôi
amiyô,áo lót
'dŏk,gì
'dŏl,nhô lên
'dŏl,rất no
'dŏng,cong
'dŏng,nhô ra
'dŏng,uống rượu mừng
'dŏr 'dŏr,mạch máu chảy
'dŏt,nhổ ra
'dŭi kơ'dŭi,cong lưng chạy
'dŭk,thình
'dŭk 'dŭk,tiếng mạch nhảy
'dŭm,loại thuốc lá có lá bầu
ao mi yô,áo lót
'dŭr,tùng
'dŭr 'dŭr,tiếng chân chạy rầm rần trên sàn
'dơh hă,không sao đâu
'dơi,có
'dơk,đu
ao đơ̆p toh,áo lót
'dơ̆m,choáng váng
'dơ̆m,chòi
'dơ̆ng,đứng
'dơ̆p,râm ran
'dơ̆p,đậy
'dơ̆r,đạp
'dơ̆t,bít lỗ
'dơ̆t,chận
'dơ̆t,chống đỡ
'dơ̆t,phòng bệnh
'hnhoi,nhìn
ao hơgăh,áo sơ mi
'iok,lấy
'iôk,bắt
'iĕ,nho
'iĕ,nhỏ
'iŭ,sợ
'jih 'jih,mưa rỉ rả
'jih 'jih,vết thương có mũ rỉ ra 
'joh 'joh,chảy nước miếng khi thèm ăn gì
'joh 'joh,thèm
ao kŏngblŏng,áo sơ mi
'joi,liên tiếp
'joi,một cây
'jom,bu vào
'jrang,ỏi
'jrep,hút
'jring,ầm
ao kơdrăng,áo sơ mi
'jrõk,chim bìm bịp
'jrõk,thình
no l̆ơ̆ng,áo sơ mi
'jrüng,nghiện rượu
'jrăi,chửi thề
'jrỡch 'jrăch,chỉ nhiều hàng thẳng tắp
'ju,sấy khô
'juah,hết sạch
'juat,nghề mộc
'jue,thật thà
'juit ' juat,đen khịt
'jul 'jal,nhảy thoăn thoắt
'juơh,thẳng tắp
'juơk,vây bẩn
'juơt,vết dơ 
'jíing 'jrăng,tiếng chiêng trông hỗn hợp
'jôm,bu vào
'jôp,chạm nút
'jôr,ốm còi
'jơ'jah,dột
'jơ'jih,mưa rỉ ra
'jơ'jrip,mưa rỉ rả
'jơjih,bị
ao dei hơ ko,áo sơ mi
'jồ krong,chim bói cá
'la,bị oan
'lak,lột
sơlŭng đak kơamê̆,ao tù
'leh,mắc bẫy
'leh,sập
'lek,lột
'leng,rụng
'nơ̆m,ấp
'long,cái
kơ'bal,ấp
rơ,ấp
tơnŏ,ấp
'long,nảy
anâm,ấp
anâ̆m,ấp
'long,thực
'long,tốt
anẫm,ấp
'long adê,vầu
b,b
'long blang,cây bông gòn
drăkăn,bà
dêkđe,bà
krăn,bà
kăn,bà
nă,bà
yă,bà
ư,bà
bơngai,bà
'long kafê,cây cà phê
'long kosu,cây cao su
'long kăi,cày
dyŏng,bà
'long kơpaih,cây bông gòn
'long kơphê,cây cà phê
'long kơsu,cây cao su
nă ma,bà
'long trang,lau
'long tŏt,trâm
'long tŏt xơ̆k,trâm
'long tŭl,sào chống bè
'long tơt xơk,trâm
yă ,bà
'nhă,bã
'longtôh,dùi
'luih,lọi
jot,bã
'luĕl 'luĕl,nghe nguồn đuôi
'luĭl 'luĭl,ngoe nguẩy đuôi
'lêp 'lêp,dáng chim vỗ cánh bay
'lêu 'lêu,chỉ khi nói kèm theo điệu bộ
'lôi,ngủi
'lăn,thinh lặng
'lĕl 'lĕl,dáng chim vỗ cánh nhẹ
'lĕp,nhơ
'lĕp,nhởn
'lĕp 'lĕp,dáng chim vỗ cánh
'lŏ,lột
'lŏ,tuổi thiếu niên
'lŭch 'lŭch,ngoe nguẩy đuôi
'lŭp 'lăp,tiếng vỗ cánh phành phạch
'lŭp 'lŭp,tiếng vỗ cánh phành phạch
'lơ 'lanh  'lơ 'lanh,khua chân
'lơ 'lanh 'lơ 'lanh,khua chân
'lơ'lĕk,nhức mỏi
'lơ'lĕl,phóng đãng
'lơ'lĕp,nhanh tay
'lơnh,giãy
'lơnh,giụa
'lơ̆ng,tốt
'lơ̆p,còn thơ ấu
'lơ̆p,non
'lơ̆p,trẻ
'lơ̆p 'bềnh,vơi
'lơ̆p loi adrol,trẻ ra
'lơ̆t,không biết xấu hổ
'lưng,tốt
'ma,phải
'man xe,đỗ
iă,bã
'mem,thương
'mem,yêu
'mem bơnat,mến
'mem bơnat,thương
'mem truh luôch,chung thủy
'mi,mưa
nhă,bã
thuôk,bả
yă,bả
'mik,bôi
'miêu,bên trái
'miêu,trái
'moih,buồn
'moih,ham
'moih,muốn
'moih,mở
'moih,thích
sơ,bả
'mong,thù
tơpa,ba ba
thuôk kơ'ne,bả chuột
kơtum,bà con
nă ma,bà con
yă dră kăn,bà ngoại
yă gah dră kăn,bà ngoại
'muôi,rắn mối
'muôi,thằn lằn
'mânh,mềm
'mâu,thơm
'mâu ôm,thối
'mâuphu,thơm
'mê̆,xấu
'măm,ngậm
yă gah kon dră kăn,bà ngoại
yă gah kơdiŏng,bà ngoại
'măng,cửa ra vào
yă gah mĕ,bà ngoại
'yă,bà ngoại
'măng tơm,cửa ra vào
'mĕt,bóp
'mĕt,bấm
'mĕt,véo
yă geh mĕ,bà ngoại
yă hơ drai,bà ngoại
'mŭi,chôn
'mơn,với
'mơn,với tay
'mơ̆u,hôi
yă păh drŏ kăn,bà ngoại
'mơ̆u brư̆,hăng
'mơ̆u hnong 'ba,nấm rơm
'na,chớ
'nah,kẻ thì
'bok gah dră kăn,bà nội
'nao,minh
'nao,mới
'nao,vừa mới
'nap,nằm rạp xuống
yă gah bă,bà nội
yă gah kon dơ răng,bà nội
yă gah kơdrăng,bà nội
yă gah tơhnglo,bà nội
'nau,mới
'yă,bà nội
'ne 'năi,nhắc
yă gĕh 'bă,bà nội
'ngah,tảng sáng
'ngam,ngọt
'ngam,ăn
'ngen 'ngon,lắc cổ qua lại
'ngeng 'ngong,chỉ rắn lớn bò ngoằn nghèo
'ngi,sồn
'ngial,thoăn
'ngial,thoắt
'ngieu,bên trái
yă păh drŏ nglo,bà nội
'ngik 'ngưk,loại con bọ rầy ăn rễ cây
kơdroh,bã rượu
'bak,bác
'bok,bác
mih,bác
nă,bác
'ngiĕn,trái
'nglal,đầu trần
'nglơch,trọc đầu
'ngoi,ngước mắt lên
'ngok,nhộng
hut,bác
'ngok,óc
'ngol,bất hòa
'ngot,cưa
'ngot,cứa
'ngrơ̆i,sực
mĭh,bác
'nguk,gật
'ngul 'ngơl,đầu lắc qua lắc lại
'nguôn,bí
'nguôn akău,núp
'nguôn akău,nấp
tu`k,bác
'ngông,dài thòng
bok,bác
'ngĕl 'ngĕl,lắc đầu từ chối
'ngĕl 'ngŏl,đầu nghiêng qua nghiêng lại
'ngĕnh 'ngĕnh,lắc
'ngĕnh 'ngĕnh kơ̆l,lắc đầu
'ngĭl,lắc
'băk,bắc
'ngĭl 'ngŭl,ngủ gà ngủ gật
'ngĭnh,sồn
'ngĭnh,sột
'ngŏi 'ngŏi,dáng đi lững thững một mình
'ngŏl,gật đầu
'ngŭk,gật đầu
'ngŭk ngăk,bổ củi xanh
'ngŭk ngăk,con bổ củi xanh
'ngŭl,gật đầu
'ngơ'ngă 'ngơ'nghĕch,dáng nhiều người 
'ngơn,ngóc
'ngơn,ngóc lên
'ngơn,thò đầu ra xem
'ngơ̆i 'ngơ̆i,dáng đi lững thững
'ngơ̆i 'ngơ̆i,nhiều vật ngóc đầu lên
bŏbah,bắc
'ngưk,rầy
'nhaih,quả ngựa dính
'nhan,dính
bơbah,bắc
'nhao,rửa
'nhau,rửa
'nhau,vo
'nhau,ẩu
'nhe 'nho,cực chẳng đã
'nhek,nhe
'nhek,xái thuốc lá
'nhek,đen thui
'nhem,thức
chơng rơng,bắc
'nher,mắt híp
'nher,thỉu
'nhet 'nhet,bệnh kiết lỵ
'nheu,nheo
'nhi 'nhĭp,nháy mắt liên tục
'nhich 'nhuch,nhún lên nhún xuống
băk,bắc
'nhik,cuốc nhỏ
'nhik,cái cuốc
'bak,bạc
'bŏng,bạc
'nhip,làm việc qua loa
glang,bạc
hu,bạc
'nhit 'nhit,dẻo
'nhiu,làm
'nho,làm
'nhoi,lim dim
ko,bạc
'nhranh,giãy
'nhranh,giụa
'nhriu,mù mịt
'nhriu,vẽ mặt hầm hằm
'nhrong,luôn
'nhrong,nguyên cây
'nhrui,tùm
'nhrui,um
'nhră,chỉ định
'nhrăm,đoán chừng
'nhrăng,săn
'nhrŏn,gọn gàng trên lưng
'nhrŏn,luôn
'nhrŭ,nhuộm
'nhrŭ,nhúng
'nhrơnh,giãy
'nhrơnh,nhảy
'nhrơnh,nảy
'nhrơ̆,ngần ngại
'nhrơ̆t,dừng lại một cách thình lình
'nhrơ̆t 'nhrơ̆t,tiếng nhai kêu sừn sựt
'nhuch 'nhuch,nhún lên nhún xuống
'nhueng,nhọn
kăk,bạc
'nhuin,chậm chạp
'nhup,qua
'nhut,kéo rồi thả như cá mắc câu
'nhôn 'nhôn,kéo dài ra
lêk,bạc
pơđam,bạc
tơkil,bạc
'nhă,bươm
'nhă,xái thuốc
tơkă,bạc
'nhăk,đem theo
'nhăk,đi
'nhăm,heo rừng
bôk,bạc
'nhăt,có
'nhĕ,nhỏ xíu
'nhĕ 'nhŏ,nhỏ
'nhĕk,bỗng nhiên
'nhĕk,mang theo
'nhĕl,thọt
'nhĕl,đui
'nhĕm,nếm thử
'nhĕng,mang theo
'nhĕp  'nhĕp,nháy mắt liên tục
'nhĕp 'nhĕp,nháy mắt liên tục
dêh,bạc
'nhĭk,nhơn
tơkôl,bạc
'nhĭp,bắt đầu lên da non
bac,bạc
'nhŏ,vừa
'nhŏi,nhái giọng
maih,bạc
'nhŭ,chua
'nhŭ,dấm
tơhrơk,bậc
kơnao,bậc
'nhŭ,mắm
'bok bơgang,bác sĩ
chơng rơng kung,bắc thang
ngĕi,bách
'nhŭk,cái lảy
'nhŭk,lảy
'nhŭm,búi tóc
'nhơ,cái ấy
'nhơ,thiu
'nhơy,cắn xé
ngẽi,bách
'ni 'năi,giống như trước
'bach,bách
'noch,vót nhọn
khim,bạch
'noh,đó
'noh,đấy
'noh,ấy
'nol,cỡn
'nol,nhảy
'not,thoi
'not,thóp
hơi,bạch
'nu,một
'bach,bạch
bach,bạch
'nut,đậy
'nâu,đây
'nôk,bắt đầu biết yêu
'nôl,cỡn
'nôl,nhảy
'nôm,tiểu
'nôm,đi tiểu
'nôm,đái
'nông,bềnh bồng
'nông,chình ình
'nô̆ kơ'nô̆,khệ nệ đi
'nă,cười
'nă,nói
'năk,cắm
'năk,gài
pơangeh jĩ ako,bạch hầu
'năk,măng cung
'năp,cái thóp
'năp,thóp
'năr,ba
pơangeh jĭ ako,bạch hầu
'năr,hoàng
mong,bạch tạng
'năr,mặc
sơmat,bái
'bai,bài
bai,bài
bri,bài
pơxrăm,bài
tơdrong,bài
'bar,bài
b`ai,bài
bo`ng,bài
bŏng,bài
'năr minh,ngày mồng một
'năr sa mŏk,lễ mừng lúa mới
drŏu,bài
nơ̆r,bài
nỡr,bài
'nĕk,chuyển
'nĕk,cựa
'nĕk,khệ
'nĕk,nấc
ƀai,bài
'nĕt,từ
chơ'bră,bãi
'nĭt,từ
chơ'brĕch,bãi
'nŏ,mình
'nŏ kơ'nŏ,gọn gàng trên lưng
'nŏk,cụt
kă,bãi
'nŏl,cỡn
'nŏl,nhảy
'nŏn,nệ
'nŏt,quậy
'nŏt 'nŏt,từ từ tiến lên
'nŭk,mạp
'nŭk,mập
'nŭng,gói lại
'nŭng,uyển
'nŭt,đậy
'nơ 'nơt,thong thả bước đều
pd'nhau,bãi
'nơt 'nơt,đi thong thả bước đều
'nơ̆k,chèo ngược dòng
'nơ̆k  'nơ̆k,đi thong thả đều bước
'nơ̆k 'nơ̆k,đi thong thả đều bước
teh tơmăn,bãi
'nơ̆n,một loại chuối rừng
'nơ̆u,này
achăng,bãi
'ră tơ'ră,rớt
'ră tơ'ră,từ trên rớt xuống
'yem,chúng mày
anih,bãi
cham,bãi
glaih,bãi
'yoh ai,nhục
'yol,chảy
'yol,tuôn
'yol blai,tuôn
'yung,dậy
'yung,lên
'yung,thức
'yung,đứng
'yung,đứng dậy
'yung đưng tep,ngủ dậy
'yôt,oằn
'yôt gơdung,oằn
'yă,vài
tơ nõk,bãi
'yĕ,nhỏ
'bai bơ tho,bài giảng
'yŏk,bớt
'yŏk,lấy
'yŏk,nhận
'yŏk 'bơt,bớt
'yŏk 'long ŭnh,lấy củi
'yŏk adrol,mượn
'yŏk adrol,vay
'yŏk chơtŭ,vờn
'yŏk dơ̆ng,vớt
'yŏk jên ruôt tơmam,tiêu tiền
'yŏk pơnưp,vờn
b`ai bơ tho,bài giảng
'yŭ,hoảng hốt
'yŭ,sợ
bai bơ tho,bài giảng
'yŭk,dục
'yơ̆u,kia
b`ai,bài học
'ban,ban
'noh,ban
@,@
[pơ'dik,lên
^'mỡt^,thẳng
amăng,ban
anoh,ban
anãr,ban
`bơ̆,làm
anăr,ban
axong,ban
a,nên thân
a,thần từ khi mừng rỡ
a droi,trước
kơ,ban
ă`n,ban
a kâu 'do lôch,xác chết
a'jă,trong trắng
a'moch,mò mầm
a'moch,để giống
a'nhur,hạ giá
a'nhur,uống rượu đón dâu
aah,thế đấy
aah,tiếng đuổi chim
aaih,á
abah abah,xuôi theo dòng nước
abai,ghè có miệng rộng
abak,kẽ ở ngắn tay
abri,qua
abrĕn,tê
ăn,ban
abôn,êm
abĕn,váy
abŏt,đọt mây non ăn được
ban,ban
abơ̆,quơ
abơ̆u,một nghìn
abơ̆u,nghìn
ach,bốn đời
acham,làm dấu 
acheh,mảnh
achep,lang củi để dưới rằm nhà
achom,múi
achom kruôĭ 'bŏng,múi bưởi
achon,hòn đảo
achoôm,thân thiết
achô̆,một ôm
achăm,giòn
achăng,ly dị
achĕp,bó nhỏ
achĕp,một bó nhỏ 
achĕp,một bó nhỏ rau
achŭ,va nhẹ đầu vào
achŭt,đẩy củi vào bếp
achơ,khinh chê
noh,ban
achơ̆m,đụng nhau
achơ̆t,dứt
achơ̆t,giới hạn
achơ̆t,ngưng lại
achơ̆t,nói dứt thoát
'ban,bàn
ada,chậm
ada,con vịt
chơ'bang,bàn
adal,cẩn
chơnang,bàn
adal,khẽ
adal,thong
adal,thả
hanang,bàn
adan,mục tiên
adar,chậm
adar,từ
hơlâu,bàn
ade,một loại lồ ô
ade,rong dưới sông
adeh,rãi
adiĕng,bí tích
adoi,cũng
adon,buồng chuối
adon,xếp
jỡng,bàn
adraih,dụng cụ đuổi chim
adraih,độn
kơ 'bang,bàn
adral,đánh dấu
adrang,đuổi đi
adrap,cảm cúm
kơ bang,bàn
adreh,độn
adrei,chày giã gạo
adrei,trụ rào
adrĕng,hết
adrĕng,rang
kơ'bang,bàn
adrih,hỉ mũi
adrih,sống
adrih,xanh tươi
